District,State,Zone,
Jehanabad,Bihar,Orange,
Khagaria,Bihar,Green,
Kishanganj,Bihar,Green,
Kaimur (bhabua),Bihar,Orange,
Katihar,Bihar,Green,
Lakhisarai,Bihar,Orange,
Madhubani,Bihar,Orange,
Munger,Bihar,Red,
Madhepura,Bihar,Orange,
Muzaffarpur,Bihar,Green,
Nalanda,Bihar,Orange,
Nawada,Bihar,Orange,
Patna,Bihar,Red,
Purnia,Bihar,Orange,
Rohtas,Bihar,Red,
Saharsa,Bihar,Green,
Samastipur,Bihar,Green,
Sheohar,Bihar,Green,
Sheikhpura,Bihar,Green,
Saran,Bihar,Orange,
Sitamarhi,Bihar,Green,
Supaul,Bihar,Green,
Siwan,Bihar,Orange,
Vaishali,Bihar,Orange,
Pashchim Champaran,Bihar,Green,
Balod,Chhattisgarh,Green,
Baloda Bazar,Chhattisgarh,Green,
Balrampur,Chhattisgarh,Green,
Bastar,Chhattisgarh,Green,
Bametara,Chhattisgarh,Green,
Bijapur,Chhattisgarh,Green,
Bilaspur,Chhattisgarh,Green,
Dakshin Bastar Dantewada,Chhattisgarh,Green,
Dhamtari,Chhattisgarh,Green,
Durg,Chhattisgarh,Green,
Gariaband,Chhattisgarh,Green,
Gaurela-Pendra-Marwahi,Chhattisgarh,Green,
Janjgir - Champa,Chhattisgarh,Green,
Jashpur,Chhattisgarh,Green,
Kabeerdham,Chhattisgarh,Green,
Uttar Bastar Kanker,Chhattisgarh,Green,
Kondagaon,Chhattisgarh,Green,
Korba,Chhattisgarh,Orange,
Koriya,Chhattisgarh,Green,
Mahasamund,Chhattisgarh,Green,
Mungeli,Chhattisgarh,Green,
Narayanpur,Chhattisgarh,Green,
Raigarh,Chhattisgarh,Green,
Raipur,Chhattisgarh,Red,
Rajnandgaon,Chhattisgarh,Green,
Sukma,Chhattisgarh,Green,
Surajpur,Chhattisgarh,Green,
Surguja,Chhattisgarh,Green,
North Goa,Goa,Green,
South Goa,Goa,Green,
Ahmadabad,Gujarat,Red,
Amreli,Gujarat,Green,
Anand,Gujarat,Red,
Aravalli,Gujarat,Red,
Banas Kantha,Gujarat,Red,
Bharuch,Gujarat,Orange,
Bhavnagar,Gujarat,Red,
Botad,Gujarat,Orange,
Chota Udaipur,Gujarat,Orange,
Dohad,Gujarat,Orange,
The Dangs,Gujarat,Orange,
Devbhoomi Dwarka,Gujarat,Green,
Gandhinagar,Gujarat,Red,
Gir Somnath,Gujarat,Orange,
Jamnagar,Gujarat,Orange,
Junagadh,Gujarat,Green,
Kachchh,Gujarat,Orange,
Kheda,Gujarat,Orange,
Mahisagar,Gujarat,Orange,
Mahesana,Gujarat,Orange,
Morbi,Gujarat,Green,
Narmada,Gujarat,Orange,
Navsari,Gujarat,Orange,
Panch Mahals,Gujarat,Red,
Patan,Gujarat,Orange,
Porbandar,Gujarat,Green,
Rajkot,Gujarat,Orange,
Sabar Kantha,Gujarat,Orange,
Surat,Gujarat,Red,
Surendranagar,Gujarat,Orange,
Tapi,Gujarat,Orange,
Vadodara,Gujarat,Red,
Valsad,Gujarat,Orange,
Ambala,Haryana,Orange,
Bhiwani,Haryana,Orange,
Charkhi Dadri,Haryana,Orange,
Faridabad,Haryana,Red,
Fatehabad,Haryana,Orange,
Gurugram,Haryana,Orange,
Hisar,Haryana,Orange,
Jhajjar,Haryana,Orange,
Jind,Haryana,Orange,
Kaithal,Haryana,Orange,
Karnal,Haryana,Orange,
Kurukshetra,Haryana,Orange,
Mahendragarh,Haryana,Green,
Nuh,Haryana,Orange,
Palwal,Haryana,Orange,
Panchkula,Haryana,Orange,
Panipat,Haryana,Orange,
Rewari,Haryana,Green,
Rohtak,Haryana,Orange,
Sirsa,Haryana,Orange,
Sonipat,Haryana,Red,
Yamunanagar,Haryana,Orange,
Chamba,Himachal Pradesh,Orange,
Kangra,Himachal Pradesh,Orange,
Lahul & Spiti,Himachal Pradesh,Green,
Kullu,Himachal Pradesh,Green,
Mandi,Himachal Pradesh,Green,
Hamirpur,Himachal Pradesh,Orange,
Una,Himachal Pradesh,Orange,
Bilaspur,Himachal Pradesh,Green,
Solan,Himachal Pradesh,Orange,
Shimla,Himachal Pradesh,Green,
Kinnaur,Himachal Pradesh,Green,
Sirmaur,Himachal Pradesh,Orange,
Garhwa,Jharkhand ,Orange,
Palamu,Jharkhand ,Green,
latehar,Jharkhand ,Green,
Chatra,Jharkhand ,Green,
Hazaribagh,Jharkhand ,Orange,
Kodarma,Jharkhand ,Orange,
Giridih,Jharkhand ,Orange,
Ramgarh,Jharkhand ,Green,
Bokaro,Jharkhand ,Orange,
Dhanbad,Jharkhand ,Orange,
Lohardaga,Jharkhand ,Green,
Simdega,Jharkhand ,Orange,
Gumla,Jharkhand ,Green,
Ranchi,Jharkhand ,Red,
Khunti,Jharkhand ,Green,
Pashchimi Singhbhum,Jharkhand ,Green,
Saraikela-kharsawan,Jharkhand ,Green,
Purbi Singhbhum,Jharkhand ,Green,
Jamtara,Jharkhand ,Orange,
Deoghar,Jharkhand ,Orange,
Dumka,Jharkhand ,Green,
Pakur,Jharkhand ,Green,
Godda,Jharkhand ,Green,
Sahibganj,Jharkhand ,Green,
Bagalkote,Karnataka,Orange,
Bengaluru Urban,Karnataka,Red,
Bengaluru Rural,Karnataka,Red,
Ballari,Karnataka,Orange,
Bidar,Karnataka,Orange,
Vijayapura,Karnataka,Orange,
Chamarajanagara,Karnataka,Green,
Chikkaballapura,Karnataka,Orange,
Chikkamagaluru,Karnataka,Green,
Chitradurga,Karnataka,Green,
Davanagere,Karnataka,Green,
Dharwad,Karnataka,Orange,
Gadag,Karnataka,Orange,
Kalaburagi,Karnataka,Orange,
Hassan,Karnataka,Orange,
Haveri,Karnataka,Orange,
Kolar,Karnataka,Orange,
Kodagu,Karnataka,Orange,
Koppal,Karnataka,Orange,
Mandya,Karnataka,Orange,
Mysuru,Karnataka,Red,
Raichur,Karnataka,Green,
Ramanagara,Karnataka,Green,
Shivamogga,Karnataka,Green,
Tumakuru,Karnataka,Orange,
Udupi,Karnataka,Green,
Uttara Kannada,Karnataka,Orange,
Yadgir,Karnataka,Green,
Belagavi,Karnataka,Orange,
Dakshina Kannada,Karnataka,Orange,
Alappuzha,Kerala,Orange,
Ernakulam,Kerala,Green,
Idukki,Kerala,Orange,
Kannur,Kerala,Red,
Kasaragod,Kerala,Orange,
Kollam,Kerala,Orange,
Kottayam,Kerala,Red,
Kozhikode,Kerala,Orange,
Malappuram,Kerala,Orange,
Palakkad,Kerala,Orange,
Pathanamthitta,Kerala,Orange,
Thiruvananthapuram,Kerala,Orange,
Thrissur,Kerala,Orange,
Wayanad,Kerala,Green,
Bhopal,Madhya Pradesh,Red,
Raisen,Madhya Pradesh,Orange,
Rajgarh,Madhya Pradesh,Green,
Sehore,Madhya Pradesh,Green,
Vidisha,Madhya Pradesh,Orange,
Gwalior,Madhya Pradesh,Red,
Sheopur,Madhya Pradesh,Orange,
Bhind,Madhya Pradesh,Green,
Morena,Madhya Pradesh,Orange,
Ashoknagar,Madhya Pradesh,Green,
Shivpuri,Madhya Pradesh,Green,
Datia,Madhya Pradesh,Green,
Guna,Madhya Pradesh,Green,
Chachaura-Binaganj,Madhya Pradesh,Green,
Alirajpur,Madhya Pradesh,Orange,
Barwani,Madhya Pradesh,Red,
Burhanpur,Madhya Pradesh,Orange,
Indore,Madhya Pradesh,Red,
Dhar,Madhya Pradesh,Red,
Jhabua,Madhya Pradesh,Green,
Khandwa,Madhya Pradesh,Green,
Khargone,Madhya Pradesh,Orange,
Balaghat,Madhya Pradesh,Green,
Chhindwara,Madhya Pradesh,Orange,
Jabalpur,Madhya Pradesh,Red,
Katni,Madhya Pradesh,Green,
Mandla,Madhya Pradesh,Green,
Narsinghpur,Madhya Pradesh,Green,
Seoni ,Madhya Pradesh,Green,
Dindori,Madhya Pradesh,Orange,
Betul,Madhya Pradesh,Orange,
Harda,Madhya Pradesh,Orange,
Hoshangabad,Madhya Pradesh,Orange,
Maihar,Madhya Pradesh,Green,
Rewa,Madhya Pradesh,Green,
Satna,Madhya Pradesh,Green,
Sidhi,Madhya Pradesh,Green,
Singrauli,Madhya Pradesh,Green,
Chhatarpur,Madhya Pradesh,Green,
Damoh,Madhya Pradesh,Green,
Panna,Madhya Pradesh,Green,
Sagar,Madhya Pradesh,Orange,
Tikamgarh,Madhya Pradesh,Orange,
Niwari,Madhya Pradesh,Green,
Anuppur,Madhya Pradesh,Green,
Shahdol,Madhya Pradesh,Orange,
Umaria,Madhya Pradesh,Green,
Agar Malwa,Madhya Pradesh,Orange,
Dewas,Madhya Pradesh,Red,
Mandsaur,Madhya Pradesh,Orange,
Nagda,Madhya Pradesh,Green,
Neemuch,Madhya Pradesh,Green,
Ratlam,Madhya Pradesh,Orange,
Shajapur,Madhya Pradesh,Orange,
Ujjain,Madhya Pradesh,Red,
East Nimar,Madhya Pradesh,Red,
Akola,Maharashtra,Red,
Amravati,Maharashtra,Orange,
Buldana,Maharashtra,Orange,
Yavatmal,Maharashtra,Red,
Washim,Maharashtra,Green,
Aurangabad,Maharashtra,Red,
Bid,Maharashtra,Orange,
Jalna,Maharashtra,Orange,
Osmanabad,Maharashtra,Green,
Nanded,Maharashtra,Orange,
Latur,Maharashtra,Orange,
Parbhani,Maharashtra,Orange,
Hingoli,Maharashtra,Orange,
Mumbai City,Maharashtra,Red,
Mumbai Suburban,Maharashtra,Red,
Thane,Maharashtra,Red,
Palghar,Maharashtra,Orange,
Raigad,Maharashtra,Red,
Ratnagiri,Maharashtra,Orange,
Bhandara,Maharashtra,Orange,
Sindhudurg,Maharashtra,Green,
Chandrapur,Maharashtra,Orange,
Gadchiroli,Maharashtra,Green,
Gondiya,Maharashtra,Green,
Nagpur,Maharashtra,Red,
Wardha,Maharashtra,Green,
Ahmadnagar,Maharashtra,Orange,
Dhule,Maharashtra,Red,
Jalgaon,Maharashtra,Red,
Nandurbar,Maharashtra,Orange,
Nashik,Maharashtra,Red,
Kolhapur,Maharashtra,Orange,
Pune,Maharashtra,Red,
Sangli,Maharashtra,Orange,
Satara,Maharashtra,Red,
Solapur,Maharashtra,Red,
Bishnupur,Manipur,Green,
Thoubal,Manipur,Green,
Imphal East,Manipur,Green,
Imphal West,Manipur,Green,
Senapati,Manipur,Green,
Ukhrul,Manipur,Green,
Chandel,Manipur,Green,
Churachandpur,Manipur,Green,
Tamenglong,Manipur,Green,
Jiribam,Manipur,Green,
Kangpokpi,Manipur,Green,
Kakching,Manipur,Green,
Tengnoupal,Manipur,Green,
Kamjong,Manipur,Green,
Noney,Manipur,Green,
Pherzwl,Manipur,Green,
East Khasi Hills,Meghalaya,Orange,
East Garo Hills,Meghalaya,Green,
West Jaintia Hills,Meghalaya,Green,
RiBhoi,Meghalaya,Green,
South Garo hills,Meghalaya,Green,
West Garo Hills,Meghalaya,Green,
West Khasi Hills,Meghalaya,Green,
North Garo Hills,Meghalaya,Green,
East Jaintia Hills,Meghalaya,Green,
South West Khasi Hills ,Meghalaya,Green,
South West Garo Hills,Meghalaya,Green,
Aizawl,Mizoram,Green,
Kolasib,Mizoram,Green,
Lawngtlai,Mizoram,Green,
Lunglei,Mizoram,Green,
Mamit,Mizoram,Green,
Saiha,Mizoram,Green,
Serchhip,Mizoram,Green,
Champhai,Mizoram,Green,
Dimapur,Nagaland,Green,
Kiphire,Nagaland,Green,
Kohima,Nagaland,Green,
Longleng,Nagaland,Green,
Mokokchung,Nagaland,Green,
Mon,Nagaland,Green,
Peren,Nagaland,Green,
Phek,Nagaland,Green,
Tuensang,Nagaland,Green,
Wokha,Nagaland,Green,
Zunheboto,Nagaland,Green,
Noklak,Nagaland,Green,
Anugul,Odisha ,Green,
Baudh,Odisha ,Green,
Balangir,Odisha ,Green,
Bargarh,Odisha ,Green,
Baleshwar,Odisha ,Red,
Bhadrak,Odisha ,Red,
Cuttack,Odisha ,Green,
Debagarh,Odisha ,Green,
Dhenkanal,Odisha ,Orange,
Ganjam,Odisha ,Green,
Gajapati,Odisha ,Green,
Jharsuguda,Odisha ,Green,
Jajapur,Odisha ,Red,
Jagatsinghapur,Odisha ,Green,
Khordha,Odisha ,Orange,
Kendujhar,Odisha ,Green,
Kalahandi,Odisha ,Orange,
Kandhamal,Odisha ,Green,
Koraput,Odisha ,Orange,
Malkangiri,Odisha ,Green,
Mayurbhanj,Odisha ,Green,
Nabarangapur,Odisha ,Green,
Nuapada,Odisha ,Green,
Nayagarh,Odisha ,Green,
Puri,Odisha ,Green,
Rayagada,Odisha ,Green,
Sambalpur,Odisha ,Green,
Subarnapur,Odisha ,Green,
Sundargarh,Odisha ,Orange,
Kendrapara,Odisha ,Orange,
Amritsar,Punjab,Orange,
Barnala,Punjab,Orange,
Bathinda,Punjab,Green,
Faridkot,Punjab,Orange,
Fatehgarh Sahib,Punjab,Green,
Firozpur,Punjab,Orange,
Fazilka,Punjab,Green,
Gurdaspur,Punjab,Orange,
Hoshiarpur,Punjab,Orange,
Jalandhar,Punjab,Red,
Kapurthala,Punjab,Orange,
Ludhiana,Punjab,Red,
Moga,Punjab,Orange,
Sri Muktsar Sahib,Punjab,Orange,
Pathankot,Punjab,Orange,
Patiala,Punjab,Red,
Rupnagar,Punjab,Green,
Sahibzada Ajit Singh Nagar,Punjab,Orange,
Sangrur,Punjab,Orange,
Shahid Bhagat Singh Nagar,Punjab,Orange,
Taran Taran,Punjab,Orange,
Ajmer,Rajasthan,Red,
Alwar,Rajasthan,Orange,
Banswara,Rajasthan,Red,
Baran,Rajasthan,Green,
Barmer,Rajasthan,Green,
Bharatpur,Rajasthan,Red,
Bhilwara,Rajasthan,Orange,
Bikaner,Rajasthan,Orange,
Bundi,Rajasthan,Green,
Chittaurgarh,Rajasthan,Orange,
Churu,Rajasthan,Orange,
Dausa,Rajasthan,Orange,
Dhaulpur,Rajasthan,Orange,
Dungarpur,Rajasthan,Orange,
Hanumangarh,Rajasthan,Orange,
Jaipur,Rajasthan,Red,
Jaisalmer,Rajasthan,Orange,
Jalor,Rajasthan,Green,
Jhalawar,Rajasthan,Red,
Jhunjhunun,Rajasthan,Orange,
Jodhpur,Rajasthan,Red,
Karauli,Rajasthan,Orange,
Kota,Rajasthan,Red,
Nagaur,Rajasthan,Red,
Pali,Rajasthan,Orange,
Pratapgarh,Rajasthan,Green,
Rajsamand,Rajasthan,Orange,
Sawai Madhopur,Rajasthan,Orange,
Sikar,Rajasthan,Orange,
Sirohi,Rajasthan,Green,
Ganganagar,Rajasthan,Green,
Tonk,Rajasthan,Orange,
Udaipur,Rajasthan,Orange,
East District,Sikkim,Green,
North District,Sikkim,Green,
South District,Sikkim,Green,
West District,Sikkim,Green,
Ariyalur,Tamil Nadu,Orange,
Chennai,Tamil Nadu,Red,
Coimbatore,Tamil Nadu,Orange,
Cuddalore,Tamil Nadu,Orange,
Dharmapuri,Tamil Nadu,Orange,
Dindigul,Tamil Nadu,Orange,
Erode,Tamil Nadu,Orange,
Kancheepuram,Tamil Nadu,Red,
Kanniyakumari,Tamil Nadu,Orange,
Karur,Tamil Nadu,Orange,
Krishnagiri,Tamil Nadu,Green,
Madurai,Tamil Nadu,Red,
Namakkal,Tamil Nadu,Red,
The Nilgiris,Tamil Nadu,Orange,
Nagapattinam,Tamil Nadu,Orange,
Perambalur,Tamil Nadu,Orange,
Pudukkottai,Tamil Nadu,Orange,
Ramanathapuram,Tamil Nadu,Orange,
Salem,Tamil Nadu,Orange,
Sivaganga,Tamil Nadu,Orange,
Thanjavur,Tamil Nadu,Red,
Theni,Tamil Nadu,Orange,
Thoothukkudi,Tamil Nadu,Orange,
Tiruchirappalli,Tamil Nadu,Orange,
Tirunelveli,Tamil Nadu,Orange,
Tiruppur,Tamil Nadu,Red,
Thiruvallur,Tamil Nadu,Red,
Tiruvannamalai,Tamil Nadu,Orange,
Thiruvarur,Tamil Nadu,Red,
Vellore,Tamil Nadu,Red,
Viluppuram,Tamil Nadu,Orange,
Virudhunagar,Tamil Nadu,Red,
Chengalpattu,Tamil Nadu,Red,
Ranipet,Tamil Nadu,Red,
Adilabad,Telangana,Orange,
Bhadradri Kothagudem,Telangana,Green,
Hyderabad ,Telangana,Red,
Jagitial,Telangana,Orange,
Jangoan,Telangana,Orange,
Jayashankar,Telangana,Orange,
Jogulamba Gadwal,Telangana,Orange,
Kamareddy,Telangana,Orange,
Karimnagar,Telangana,Orange,
Khammam,Telangana,Orange,
Kumuram Bheem Asifabad,Telangana,Orange,
Mahabubabad,Telangana,Green,
Mahabubnagar,Telangana,Orange,
Mancherial,Telangana,Orange,
Medak,Telangana,Orange,
Medchal Malkajgiri,Telangana,Red,
Mulugu,Telangana,Green,
Nagarkurnool,Telangana,Green,
Narayanpet,Telangana,Orange,
Nalgonda,Telangana,Orange,
Nirmal,Telangana,Orange,
Nizamabad,Telangana,Orange,
Peddapalli,Telangana,Green,
Rajanna Sircilla,Telangana,Orange,
Ranga Reddy,Telangana,Red,
Sangareddy,Telangana,Orange,
Siddipet,Telangana,Green,
Suryapet,Telangana,Red,
Vikarabad,Telangana,Red,
Wanaparthy,Telangana,Green,
Warangal Rural,Telangana,Green,
Warangal Urban,Telangana,Red,
Yadadri Bhuvanagiri,Telangana,Green,
North Tripura,Tripura,Orange,
Gomati,Tripura,Orange,
Khowai,Tripura,Green,
Dhalai,Tripura,Green,
South Tripura,Tripura,Green,
West Tripura,Tripura,Green,
Unokoti,Tripura,Green,
Sipahijala,Tripura,Green,
Agra,Uttar Pradesh,Red,
Aligarh,Uttar Pradesh,Red,
Prayagraj,Uttar Pradesh,Orange,
Ambedkar Nagar,Uttar Pradesh,Green,
Amethi,Uttar Pradesh,Green,
Amroha,Uttar Pradesh,Red,
Auraiya,Uttar Pradesh,Orange,
Azamgarh,Uttar Pradesh,Orange,
Budaun,Uttar Pradesh,Orange,
Bahraich,Uttar Pradesh,Orange,
Ballia,Uttar Pradesh,Green,
Baghpat,Uttar Pradesh,Orange,
Balrampur,Uttar Pradesh,Orange,
Banda,Uttar Pradesh,Orange,
Bara Banki,Uttar Pradesh,Green,
Bareilly,Uttar Pradesh,Red,
Bhadohi,Uttar Pradesh,Orange,
Basti,Uttar Pradesh,Orange,
Bijnor,Uttar Pradesh,Red,
Bulandshahr,Uttar Pradesh,Red,
Chandauli,Uttar Pradesh,Green,
Chitrakoot,Uttar Pradesh,Green,
Deoria,Uttar Pradesh,Green,
Etah,Uttar Pradesh,Orange,
Etawah,Uttar Pradesh,Orange,
Faizabad,Uttar Pradesh,Orange,
Farrukhabad,Uttar Pradesh,Green,
Fatehpur,Uttar Pradesh,Green,
Firozabad,Uttar Pradesh,Orange,
Gautam Buddha Nagar,Uttar Pradesh,Red,
Ghaziabad,Uttar Pradesh,Orange,
Ghazipur,Uttar Pradesh,Orange,
Gonda,Uttar Pradesh,Orange,
Gorakhpur,Uttar Pradesh,Orange,
Hamirpur,Uttar Pradesh,Green,
Hapur,Uttar Pradesh,Orange,
Hardoi,Uttar Pradesh,Orange,
Hathras,Uttar Pradesh,Green,
Jalaun,Uttar Pradesh,Orange,
Jaunpur,Uttar Pradesh,Orange,
Jhansi,Uttar Pradesh,Orange,
Kannauj,Uttar Pradesh,Orange,
Kanpur Dehat,Uttar Pradesh,Green,
Kanpur Nagar,Uttar Pradesh,Red,
Kasganj,Uttar Pradesh,Orange,
Kaushambi ,Uttar Pradesh,Orange,
Kheri,Uttar Pradesh,Green,
Kushinagar,Uttar Pradesh,Green,
Lakhimpur Kheri,Uttar Pradesh,Orange,
Lalitpur,Uttar Pradesh,Green,
Lucknow,Uttar Pradesh,Red,
Maharajganj,Uttar Pradesh,Green,
Mahoba,Uttar Pradesh,Green,
Mainpuri,Uttar Pradesh,Orange,
Mathura,Uttar Pradesh,Red,
Mau,Uttar Pradesh,Orange,
Meerut,Uttar Pradesh,Red,
Mirzapur,Uttar Pradesh,Orange,
Moradabad,Uttar Pradesh,Red,
Muzaffarnagar,Uttar Pradesh,Red,
Pilibhit,Uttar Pradesh,Orange,
Pratapgarh,Uttar Pradesh,Orange,
Rae Bareli,Uttar Pradesh,Red,
Rampur,Uttar Pradesh,Red,
Saharanpur,Uttar Pradesh,Red,
Sant Kabir Nagar,Uttar Pradesh,Red,
Sant Ravidas Nagar,Uttar Pradesh,Orange,
Sambhal,Uttar Pradesh,Orange,
Shahjahanpur,Uttar Pradesh,Green,
Shamli,Uttar Pradesh,Orange,
Shrawasti,Uttar Pradesh,Orange,
Siddharthnagar,Uttar Pradesh,Green,
Sitapur,Uttar Pradesh,Orange,
Sonbhadra,Uttar Pradesh,Green,
Sultanpur,Uttar Pradesh,Orange,
Unnao,Uttar Pradesh,Orange,
Varanasi,Uttar Pradesh,Red,
Almora, Uttarakhand,Green,
Bageshwar, Uttarakhand,Green,
Chamoli, Uttarakhand,Green,
Champawat, Uttarakhand,Green,
Dehradun, Uttarakhand,Orange,
Haridwar, Uttarakhand,Red,
Nainital, Uttarakhand,Orange,
Pauri Garhwal, Uttarakhand,Green,
Pithoragarh, Uttarakhand,Green,
Rudraprayag, Uttarakhand,Green,
Tehri Garhwal , Uttarakhand,Green,
Udham Singh Nagar, Uttarakhand,Green,
Uttarkashi, Uttarakhand,Green,
Alipurduar,West Bengal,Green,
Bankura,West Bengal,Green,
Paschim Bardhaman,West Bengal,Orange,
Purba Bardhaman,West Bengal,Orange,
Birbhum,West Bengal,Green,
Cooch behar,West Bengal,Green,
Darjeeling,West Bengal,Red,
Uttar Dinajpur,West Bengal,Green,
Dakshin Dinajpur,West Bengal,Green,
Hooghly,West Bengal,Orange,
Howrah,West Bengal,Red,
Jalpaiguri,West Bengal,Red,
Jhargram,West Bengal,Green,
Kolkata,West Bengal,Red,
Kalimpong,West Bengal,Red,
Maldah,West Bengal,Red,
Medinipur West,West Bengal,Red,
Purba Medinipur,West Bengal,Red,
Murshidabad,West Bengal,Orange,
Nadia,West Bengal,Orange,
North Twenty Four Pargana,West Bengal,Red,
South Twenty Four Pargana,West Bengal,Red,
Puruliya,West Bengal,Green,
Nicobars,Andaman & Nicobar,Green,
North & middle Andaman,Andaman & Nicobar,Green,
South Andaman,Andaman & Nicobar,Red,
Chandigarh,Chandigarh,Red,
Daman District,Daman District,Green,
Diu District,Diu District,Green,
Dadra & Nagar Haveli,Dadra & Nagar Haveli District,Green,
Doda,Jammu & Kashmir,Green,
Jammu,Jammu & Kashmir,Orange,
Kathua,Jammu & Kashmir,Orange,
Kishtwar,Jammu & Kashmir,Green,
Poonch,Jammu & Kashmir,Green,
Rajouri,Jammu & Kashmir,Orange,
Ramban,Jammu & Kashmir,Orange,
Reasi,Jammu & Kashmir,Orange,
Samba,Jammu & Kashmir,Orange,
Udhampur,Jammu & Kashmir,Orange,
Anantnag,Jammu & Kashmir,Red,
Bandipora,Jammu & Kashmir,Red,
Baramulla,Jammu & Kashmir,Orange,
Budgam,Jammu & Kashmir,Orange,
Ganderbal,Jammu & Kashmir,Orange,
Kulgam,Jammu & Kashmir,Orange,
Kupwara,Jammu & Kashmir,Orange,
Pulwama,Jammu & Kashmir,Green,
Shopian,Jammu & Kashmir,Red,
Srinagar,Jammu & Kashmir,Red,
Kargil,Ladakh,Orange,
Leh,Ladakh,Orange,
Lakshadweep,Lakshadweep,Green,
New Delhi,Delhi,Red,
North Delhi,Delhi,Red,
West Delhi,Delhi,Red,
South West Delhi,Delhi,Red,
South Delhi,Delhi,Red,
South East Delhi,Delhi,Red,
Central Delhi,Delhi,Red,
North East Delhi,Delhi,Red,
Shahdara,Delhi,Red,
East Delhi,Delhi,Red,
North West Delhi,Delhi,Red
Karaikal,Puducherry,Green,
Mahe,Puducherry,Green,
Puducherry,Puducherry,Orange,
Yanam,Puducherry,Green,
Mansa,Punjab,Orange,
